Name,Class,Field,Bits,ValueType,Mask,Prerequisite,Description
OFPXMT_OFB_IN_PORT,OFPXMC_OPENFLOW_BASIC,0,32,Big32,false,,"Ingress port. Numerical representation of incoming port, starting at 1. This may be a physical or switch-defined logical port."
OFPXMT_OFB_IN_PHY_PORT,OFPXMC_OPENFLOW_BASIC,1,32,Big32,false,IN_PORT present,"Physical port. In ofp_packet_in messages, underlying physical port when packet received on a logical port."
OFPXMT_OFB_METADATA,OFPXMC_OPENFLOW_BASIC,2,64,Big64,true,,Table metadata. Used to pass information between tables.
OFPXMT_OFB_ETH_DST,OFPXMC_OPENFLOW_BASIC,3,48,EnetAddress,true,,Ethernet destination MAC address.
OFPXMT_OFB_ETH_SRC,OFPXMC_OPENFLOW_BASIC,4,48,EnetAddress,true,,Ethernet source MAC address.
OFPXMT_OFB_ETH_TYPE,OFPXMC_OPENFLOW_BASIC,5,16,Big16,false,,"Ethernet type of the OpenFlow packet payload, after VLAN tags."
OFPXMT_OFB_VLAN_VID,OFPXMC_OPENFLOW_BASIC,6,13,Big16,true,,VLAN-ID from 802.1Q header. The CFI bit indicates the presence of a valid VLAN-ID.
OFPXMT_OFB_VLAN_PCP,OFPXMC_OPENFLOW_BASIC,7,3,Big8,false,VLAN_VID != NONE,VLAN-PCP from 802.1Q header.
OFPXMT_OFB_IP_DSCP,OFPXMC_OPENFLOW_BASIC,8,6,Big8,false,"ETH_TYPE in (0x0800,0x86dd)",DiffServ Code Point (DSCP). Part of the IPv4 ToS field or the IPv6 Traffic Class field.
OFPXMT_OFB_IP_ECN,OFPXMC_OPENFLOW_BASIC,9,2,Big8,false,"ETH_TYPE in (0x0800,0x86dd)",ECN bits of the IP header. Part of the IPv4 ToS field or the IPv6 Traffic Class field.
OFPXMT_OFB_IP_PROTO,OFPXMC_OPENFLOW_BASIC,10,8,Big8,false,"ETH_TYPE in (0x0800,0x86dd)",IPv4 or IPv6 protocol number.
OFPXMT_OFB_IPV4_SRC,OFPXMC_OPENFLOW_BASIC,11,32,IPv4Address,true,ETH_TYPE == 0x0800,IPv4 source address. Can use subnet mask or arbitrary bitmask.
OFPXMT_OFB_IPV4_DST,OFPXMC_OPENFLOW_BASIC,12,32,IPv4Address,true,ETH_TYPE == 0x0800,IPv4 destination address. Can use subnet mask or arbitrary bitmask.
